Phylum
__Proteobacteria
__Proteobacteria
__Firmicutes
__Proteobacteria
__Firmicutes
__Proteobacteria
__Firmicutes
__Proteobacteria
__Actinobacteria
__Proteobacteria
__Proteobacteria
__Proteobacteria
__Firmicutes
__Actinobacteria
__Firmicutes
__Actinobacteria
__Firmicutes
__Firmicutes
__Firmicutes
__Firmicutes
__Firmicutes
__Firmicutes
__Proteobacteria
__Firmicutes
__Proteobacteria
__Firmicutes
__Proteobacteria
__Firmicutes
__Proteobacteria
__Firmicutes
__Firmicutes
__Proteobacteria
__Firmicutes
__Actinobacteria
__Firmicutes
__Firmicutes
__Proteobacteria
__Firmicutes
__Proteobacteria
__Firmicutes
__Actinobacteria
__Firmicutes
__Firmicutes
__Firmicutes
__Actinobacteria
__Proteobacteria
__Proteobacteria
__Firmicutes
__Actinobacteria
__Firmicutes
__Firmicutes
__Proteobacteria
__Proteobacteria
__Firmicutes
__Firmicutes
__Actinobacteria
__Cyanobacteria
__Proteobacteria
__Proteobacteria
__Proteobacteria
__Proteobacteria
__Firmicutes
__Bacteroidetes
__Firmicutes
__Firmicutes
__Proteobacteria
__Proteobacteria
__Bacteroidetes
__Actinobacteria
__Firmicutes
__Actinobacteria
__Firmicutes
__Firmicutes
__Firmicutes
__Bacteroidetes
__Proteobacteria
__Actinobacteria
__Bacteroidetes
__Proteobacteria
__Firmicutes
__Proteobacteria
__Firmicutes
__Actinobacteria
__Firmicutes
__Firmicutes
__Proteobacteria
__Proteobacteria
__Firmicutes
__Proteobacteria
__Bacteroidetes
__Actinobacteria
__Bacteroidetes
__Proteobacteria
__Firmicutes
__Firmicutes
__Proteobacteria
__Firmicutes
__Proteobacteria
__Cyanobacteria
__Firmicutes
__Firmicutes
__Actinobacteria
__Firmicutes
__Proteobacteria
__Firmicutes
__Proteobacteria
__Firmicutes
__Acidobacteria
__Bacteroidetes
__Proteobacteria
__Proteobacteria
__Proteobacteria
__Firmicutes
__Proteobacteria
__Firmicutes
__Actinobacteria
__Proteobacteria
__Bacteroidetes
__Proteobacteria
__Firmicutes
__Bacteroidetes
__Bacteroidetes
__Deinococcus-Thermus
__Firmicutes
__Proteobacteria
__Proteobacteria
__Firmicutes
__Proteobacteria
